Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
1844,62.16702367
1845,61.91488869
1846,61.70447962
1847,61.50671396
1848,61.29359034
1849,61.06882092
1850,60.84073162
1851,60.6154884
1852,60.38979744
1853,60.16002717
1854,59.92895999
1855,59.70177685
1856,59.47950474
1857,59.25255957
1858,59.01214812
1859,58.75451427
1860,58.52415653
1861,58.37097394
1862,58.28559419
1863,58.2450059
1864,58.26404226
1865,58.36155381
1866,58.53066084
1867,58.70501686
1868,58.81880464
1869,58.89840989
1870,58.92104068
1871,58.81939278
1872,58.54936981
1873,58.14982105
1874,57.68155354
1875,57.18932811
1876,56.63888716
1877,56.08281254
1878,55.59166719
1879,55.18050935
1880,54.90574506
1881,54.7326576
1882,54.63960039
1883,54.60409827
1884,54.58933788
1885,54.56526548
1886,54.52852402
1887,54.48882347
1888,54.46559173
1889,54.48669114
1890,54.53506482
1891,54.56457153
1892,54.49032838
1893,54.41129614
1894,54.38157771
1895,54.38382263
1896,54.43834391
1897,54.57678722
1898,54.77916739
1899,54.96048547
1900,55.08947578
1901,55.18399495
1902,55.22671749
1903,55.20699198
1904,55.11337722
1905,54.92818703
1906,54.63070473
1907,54.28237368
1908,53.95753147
1909,53.67093192
1910,53.45246601
1911,53.33284253
1912,53.29257456
1913,53.27274801
1914,53.22640293
1915,53.14192602
1916,53.01500605
1917,52.85812091
1918,52.68012578
1919,52.4924094
1920,52.31177144
1921,52.14464323
1922,51.98002762
1923,51.80943164
1924,51.6388696
1925,51.47171295
1926,51.29904214
1927,51.12315873
1928,50.95146564
1929,50.79025226
1930,50.6389093
1931,50.48997565
1932,50.34550022
1933,50.2192746
1934,50.10797093
1935,49.97901095
1936,49.80764623
1937,49.61526004
1938,49.40570207
1939,49.17952842
1940,48.961164
1941,48.78924049
1942,48.6638193
1943,48.55490481
1944,48.43801745
1945,48.29065411
1946,48.10109362
1947,47.88250282
1948,47.65080937
1949,47.42017324
1950,47.20619776
1951,47.0228351
1952,46.85849441
1953,46.69915855
1954,46.54131781
1955,46.38327515
1956,46.21892621
1957,46.0492582
1958,45.88299675
1959,45.72556517
1960,45.5697617
1961,45.40620469
1962,45.23596005
1963,45.05219595
1964,44.8455126
1965,44.61528122
1966,44.3713581
